timestamp,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH
1679660724.35965800,208298851,2,-0.8,0.75,305.04,-0.016873205080628395,0.07117558270692825,0.06797150522470474,0.12474408745765686,3.1286380290985107,-0.27541008591651917,-1.4784091711044312,-0.24,0.14,-0.61,264.27
1679660724.45967102,208398864,2,-0.8,0.75,305.46,-0.022021902725100517,0.06276950240135193,0.06948324292898178,0.12199395149946213,3.130042552947998,-0.272134393453598,-1.4670979976654053,-0.24,0.14,-0.62,264.27
1679660724.55963588,208498829,2,-0.79,0.74,305.85,-0.015400049276649952,0.06455285102128983,0.0720408633351326,0.1082858294248581,3.1324291229248047,-0.2700047492980957,-1.4571912288665771,-0.24,0.14,-0.62,264.27
1679660724.65960503,208598798,2,-0.8200000000000001,0.73,306.15000000000003,-0.019591806456446648,0.06509730964899063,0.0739937275648117,0.08132050931453705,3.134425163269043,-0.26796528697013855,-1.4492424726486206,-0.24,0.14,-0.63,264.27
1679660724.75960398,208698797,2,-0.78,0.72,306.52,-0.02020879089832306,0.06839422881603241,0.07371934503316879,0.06834026426076889,3.1354987621307373,-0.266825795173645,-1.4414806365966797,-0.24,0.14,-0.63,264.27
1679660724.85960889,208798802,2,-0.8300000000000001,0.72,306.93,-0.01568666659295559,0.06352569907903671,0.07573647052049637,0.07838241755962372,3.1363213062286377,-0.26516032218933105,-1.4326905012130737,-0.24,0.14,-0.64,264.27
1679660724.95967698,208898870,2,-0.8,0.71,307.2,-0.019894283264875412,0.06190339848399162,0.07804633677005768,0.08434645086526871,3.1365139484405518,-0.264088898897171,-1.4242429733276367,-0.24,0.14,-0.64,264.27
1679660725.05966306,208998856,2,-0.8200000000000001,0.71,307.57,-0.01938890479505062,0.06475773453712463,0.08088398724794388,0.07777182757854462,3.1374526023864746,-0.26260221004486084,-1.4166628122329712,-0.24,0.14,-0.64,264.27
1679660725.15968609,209098879,2,-0.81,0.71,307.96,-0.01566160097718239,0.05785465985536575,0.08278144896030426,0.07069571316242218,3.1397628784179688,-0.26154571771621704,-1.4094340801239014,-0.24,0.14,-0.65,264.27
1679660725.25965405,209198847,2,-0.8,0.6900000000000001,308.24,-0.01281831506639719,0.05879545584321022,0.08310949802398682,0.05752841755747795,3.141240358352661,-0.26021528244018555,-1.403656244277954,-0.24,0.14,-0.65,264.27
1679660725.35967207,209298865,2,-0.8200000000000001,0.68,308.58,-0.016841113567352295,0.06171414628624916,0.08463937044143677,0.042911119759082794,3.141859769821167,-0.25786134600639343,-1.3988401889801025,-0.24,0.14,-0.66,264.27
1679660725.45965004,209398843,2,-0.79,0.6900000000000001,308.98,-0.0150917898863554,0.05908660963177681,0.08363601565361023,0.041928235441446304,3.1415786743164062,-0.2557336986064911,-1.3938621282577515,-0.24,0.14,-0.66,264.27
1679660725.55961394,209498807,2,-0.8300000000000001,0.68,309.27,-0.014269597828388214,0.055711161345243454,0.08398035913705826,0.051144614815711975,3.141251802444458,-0.2541360855102539,-1.3879964351654053,-0.24,0.14,-0.67,264.27
1679660725.65961409,209598807,2,-0.81,0.68,309.61,-0.021073631942272186,0.056348275393247604,0.08423150330781937,0.06018923223018646,3.1405906677246094,-0.2529755234718323,-1.3822221755981445,-0.24,0.14,-0.67,264.27
1679660725.75962710,209698820,2,-0.8300000000000001,0.68,310.0,-0.017517365515232086,0.05580558255314827,0.08475805819034576,0.04518551006913185,3.1403613090515137,-0.25252288579940796,-1.3778860569000244,-0.24,0.14,-0.68,264.27
1679660725.85967708,209798870,2,-0.8300000000000001,0.67,310.32,-0.019656207412481308,0.04883955046534538,0.08490531891584396,0.035497792065143585,3.1404106616973877,-0.2518978714942932,-1.3741164207458496,-0.24,0.15,-0.68,264.27
1679660725.95974088,209898934,2,-0.8200000000000001,0.66,310.63,-0.018151696771383286,0.051703810691833496,0.08399013429880142,0.03964926674962044,3.1410646438598633,-0.25120121240615845,-1.3693740367889404,-0.24,0.15,-0.68,264.27
1679660726.05965710,209998850,2,-0.84,0.67,311.01,-0.017800796777009964,0.0458320677280426,0.08402042835950851,0.05118423327803612,3.1414120197296143,-0.2504258453845978,-1.3643786907196045,-0.24,0.15,-0.6900000000000001,264.27
1679660726.15965104,210098844,2,-0.8200000000000001,0.65,311.32,-0.016949674114584923,0.041740819811820984,0.083582304418087,0.04223326966166496,3.1416826248168945,-0.25068992376327515,-1.360266923904419,-0.24,0.15,-0.6900000000000001,264.27
1679660726.25967002,210198863,2,-0.84,0.65,311.63,-0.018344057723879814,0.04370240867137909,0.08281288295984268,0.04395965114235878,3.141716480255127,-0.2503952085971832,-1.3556954860687256,-0.24,0.15,-0.7000000000000001,264.27
1679660726.35964799,210298841,2,-0.8300000000000001,0.65,312.0,-0.019200298935174942,0.03792724013328552,0.0828164666891098,0.03828427195549011,3.1414408683776855,-0.2501552104949951,-1.3518366813659668,-0.24,0.15,-0.7000000000000001,264.27
1679660726.45960999,210398803,2,-0.84,0.65,312.33,-0.01653406210243702,0.037068821489810944,0.0823797807097435,0.040997110307216644,3.1412582397460938,-0.24991372227668762,-1.347644329071045,-0.24,0.15,-0.7000000000000001,264.27
1679660726.55961108,210498804,2,-0.84,0.65,312.62,-0.020688790827989578,0.033233392983675,0.08213683217763901,0.04230649024248123,3.141313314437866,-0.24997569620609283,-1.3431906700134277,-0.24,0.15,-0.71,264.27
1679660726.65961599,210598809,2,-0.8300000000000001,0.65,312.98,-0.018999967724084854,0.033124640583992004,0.08133755624294281,0.0366893894970417,3.1406617164611816,-0.24983274936676025,-1.3398559093475342,-0.24,0.15,-0.71,264.27
1679660726.75967193,210698865,2,-0.85,0.64,313.29,-0.019505592063069344,0.03012143447995186,0.0807449072599411,0.02751249261200428,3.1396708488464355,-0.24932487308979034,-1.336695671081543,-0.24,0.15,-0.71,264.27
1679660726.85965896,210798852,2,-0.84,0.64,313.57,-0.021988525986671448,0.028232445940375328,0.08014778047800064,0.0347871258854866,3.1386797428131104,-0.2488926202058792,-1.3328907489776611,-0.24,0.15,-0.72,264.27
1679660726.95967698,210898870,2,-0.86,0.64,313.92,-0.021199721843004227,0.028686780482530594,0.08024884760379791,0.04274626448750496,3.138174057006836,-0.24839764833450317,-1.3284592628479004,-0.24,0.15,-0.72,264.27
1679660727.05965495,210998848,2,-0.84,0.64,314.24,-0.021880723536014557,0.02311890572309494,0.08056638389825821,0.05127091705799103,3.1368401050567627,-0.24813371896743774,-1.3238356113433838,-0.24,0.15,-0.72,264.27
1679660727.15967393,211098867,2,-0.85,0.63,314.52,-0.0229018684476614,0.02351875975728035,0.0798308476805687,0.039054084569215775,3.1347761154174805,-0.2482089400291443,-1.320225715637207,-0.24,0.15,-0.73,264.27
1679660727.25963688,211198830,2,-0.86,0.64,314.85,-0.02524993196129799,0.020177697762846947,0.07978641241788864,0.03665832802653313,3.1332485675811768,-0.24801164865493774,-1.3163971900939941,-0.24,0.15,-0.73,264.27
1679660727.35960698,211298800,2,-0.85,0.65,315.18,-0.02247137762606144,0.017609810456633568,0.07933825254440308,0.03677482157945633,3.132758855819702,-0.24801005423069,-1.312457799911499,-0.24,0.15,-0.73,264.27
1679660727.45960903,211398802,2,-0.86,0.65,315.45,-0.025166643783450127,0.017141422256827354,0.07981608808040619,0.03986065462231636,3.132582426071167,-0.24776197969913483,-1.3084867000579834,-0.24,0.15,-0.74,264.27
1679660727.55961990,211498813,2,-0.84,0.65,315.76,-0.023847943171858788,0.0150495870038867,0.0789041519165039,0.046070802956819534,3.132920980453491,-0.24743425846099854,-1.3034648895263672,-0.24,0.15,-0.74,264.27
