,37-39,37-39,37-39,37-53,37-53,37-53,39-53,39-53,39-53
direction,PD,PE,PN,PD,PE,PN,PD,PE,PN
timestamp,,,,,,,,,
0 days 00:00:00.600001,-2.016507565975189,2.9668933153152466,-7.946635405222575,-0.5756768669400896,1.496570497751236,-7.741899557766461,1.4408306990350996,-1.4703228175640106,0.20473584745611464
0 days 00:00:00.600019,-2.0177558809518814,2.9670634865760803,-7.946836584247649,-0.5759822300502233,1.4968469440937042,-7.742351497922625,1.441773650901658,-1.470216542482376,0.20448508632502388
0 days 00:00:00.640010,-2.018902510404587,2.9670944809913635,-7.947082029655576,-0.57618590763637,1.496984213590622,-7.742847704461643,1.4427166027682168,-1.4701102674007416,0.20423432519393311
0 days 00:00:00.640056,-2.0199780464172363,2.967265884081523,-7.947600568955143,-0.5763895852225169,1.4971214830875397,-7.74334391100066,1.4435884611947194,-1.470144400993983,0.20425665795448283
0 days 00:00:00.679983,-2.0214374363422394,2.967214186986287,-7.948506538445751,-0.5769771167210171,1.497035652399063,-7.744227547730718,1.4444603196212222,-1.4701785345872243,0.20427899071503253
0 days 00:00:00.679994,-2.0223046739896136,2.967509587605794,-7.948731902365883,-0.5769724959418889,1.4972969194253285,-7.7444305788903005,1.4453321780477248,-1.4702126681804657,0.20430132347558227
0 days 00:00:00.699957,-2.02280800541242,2.9676478306452436,-7.948972375442585,-0.5769678751627607,1.497558186451594,-7.744633610049884,1.445840130249659,-1.4700896441936493,0.20433876539270082
0 days 00:00:00.700042,-2.0233113368352256,2.9677860736846924,-7.949212848519285,-0.5769597802843369,1.4977659242493766,-7.7447434940508435,1.4463515565508884,-1.4700201494353156,0.20446935446844217
0 days 00:00:00.700052,-2.0237373411655426,2.96791672706604,-7.949523814022541,-0.5768743583134244,1.4979660723890578,-7.744923870478358,1.4468629828521182,-1.469950654676982,0.20459994354418345
0 days 00:00:00.720016,-2.024336814880371,2.9681302905082703,-7.949862034060061,-0.576788936342512,1.498166220528739,-7.745104246905872,1.447547878537859,-1.4699640699795313,0.2047577871541892
0 days 00:00:00.720028,-2.0252946317195892,2.968400776386261,-7.950547391548753,-0.5770618574959892,1.4984232911041806,-7.745631760784558,1.4482327742236,-1.4699774852820804,0.20491563076419492
0 days 00:00:00.760010,-2.026836395263672,2.968850255012512,-7.951186765450984,-0.5773347786494665,1.498680361679622,-7.746159274663244,1.4495016166142054,-1.4701698933328902,0.20502749078774027
0 days 00:00:00.760046,-2.028222620487213,2.969347208738327,-7.951578541658819,-0.5774521614824022,1.4989849073546273,-7.746439190847533,1.450770459004811,-1.4703623013837,0.2051393508112856
0 days 00:00:00.799985,-2.0296312421560287,2.9698225259780884,-7.951961452141404,-0.5775695443153381,1.4992894530296326,-7.746719107031822,1.4520616978406906,-1.4705330729484558,0.20524234510958195
0 days 00:00:00.800044,-2.0310398638248444,2.9702978432178497,-7.95234436262399,-0.5777222130979811,1.4996424955981118,-7.746764872755323,1.4533176507268633,-1.470655347619738,0.20557948986866648
0 days 00:00:00.800050,-2.032477021217346,2.9707557559013367,-7.9527105507440865,-0.5778748818806239,1.499995538166591,-7.7468106384788245,1.4546021393367223,-1.4707602177347456,0.20589991226526244
0 days 00:00:00.840009,-2.0339563488960266,2.9711214900016785,-7.953243035823107,-0.5780697209494454,1.5002564021519254,-7.7470227011612485,1.4558866279465812,-1.4708650878497531,0.2062203346618584
0 days 00:00:00.840069,-2.034538239240646,2.971292555332184,-7.953643961809576,-0.5782645600182668,1.5005172661372594,-7.7472347638436725,1.4562736792223794,-1.4707752891949244,0.20640919796590293
0 days 00:00:00.879998,-2.0351327061653137,2.9714393615722656,-7.9540248606354,-0.5784719756671362,1.50075387103217,-7.747426799365452,1.4566607304981776,-1.4706854905400957,0.20659806126994745
0 days 00:00:00.880045,-2.0354935725529986,2.97142497698466,-7.954489304994543,-0.5786793913160051,1.5009904759270805,-7.747618834887232,1.4568141812369937,-1.4704345010575794,0.2068704701073113
0 days 00:00:00.899989,-2.0356634060541787,2.971488118171692,-7.95465588507553,-0.5786957740783691,1.501304606596629,-7.747513006130855,1.4569676319758096,-1.4701835115750632,0.20714287894467512
0 days 00:00:00.900032,-2.035833239555359,2.971551259358724,-7.954822465156515,-0.5786420617784773,1.5015913872491744,-7.747405344531649,1.4571911777768816,-1.4699598721095497,0.2074171206248658
0 days 00:00:00.900047,-2.0360359152158103,2.9716060956319175,-7.954986475408077,-0.5785883494785853,1.5018781679017204,-7.747297682932445,1.4574475657372248,-1.4697279277301971,0.20768879247563227
0 days 00:00:00.919983,-2.0366657177607217,2.971778313318888,-7.95533343218267,-0.5789617640631539,1.5022823299680437,-7.747372967856271,1.457703953697568,-1.4694959833508445,0.2079604643263987
0 days 00:00:00.920027,-2.0376542806625366,2.9721572399139404,-7.955743331462145,-0.5796939390046256,1.5028932009424483,-7.74751119528498,1.457960341657911,-1.469264038971492,0.20823213617716516
0 days 00:00:00.960014,-2.039022848010063,2.972619354724884,-7.956064592115581,-0.5804261139460973,1.5035040719168529,-7.747649422713688,1.4585967340639658,-1.4691152828080314,0.2084151694018926
0 days 00:00:00.960030,-2.0400218665599823,2.9730006754398346,-7.956186773255467,-0.5807887400899614,1.5040341487952644,-7.747588570628848,1.459233126470021,-1.4689665266445704,0.2085982026266201
0 days 00:00:01.000011,-2.041089653968811,2.973343789577484,-7.956304155290127,-0.5811513662338257,1.5045642256736755,-7.747527718544006,1.4599382877349854,-1.4687795639038086,0.2087764367461205
0 days 00:00:01.000018,-2.0421574413776398,2.9736869037151337,-7.956421537324786,-0.5814762314160664,1.5050528446833293,-7.747487667534086,1.4606812099615734,-1.468634059031804,0.20893386979069978
0 days 00:00:01.000045,-2.0433212518692017,2.9740049242973328,-7.956527200527489,-0.5818010965983074,1.5055414636929831,-7.747447616524166,1.4615201552708943,-1.4684634606043496,0.20907958400332266
0 days 00:00:01.039999,-2.044555574655533,2.9743637442588806,-7.956741344183683,-0.5821964740753174,1.5060708820819855,-7.747516045967738,1.4623591005802155,-1.4682928621768951,0.2092252982159456
