direction,PE,PE,PE,PE,PE,PN,PN,PN,PN,PN,PD,PD,PD,PD,PD
log_diff,37,39,54,80,95,37,39,54,80,95,37,39,54,80,95
timestamp,,,,,,,,,,,,,,,
0 days 00:00:00.879998,-1.7641462087631226,1.207293152809143,-0.9652354121208191,-0.19380846832479748,0.0,7.969367504119873,0.0153426434844732,-0.3573674830523404,0.06459893924849365,0.0,1.6790478825569153,-0.3560848236083984,-1.9771140597083352,0.3889771955353873,0.0
0 days 00:00:00.880045,-1.7640711069107056,1.2073295831680297,-0.9653932452201843,-0.19375040488583697,0.0,7.969841957092285,0.015348648652434321,-0.35730156844312494,0.06551606154867573,0.0,1.6794122457504272,-0.3560827255249023,-1.9768879847093062,0.3893282839230129,0.0
0 days 00:00:00.899991,-1.764072561264038,1.2073660135269166,-0.9655510783195496,-0.1936923414468765,0.0,7.9699479103088375,0.01535465382039544,-0.3572356538339095,0.0664331838488578,0.0,1.6795162439346314,-0.3560806274414062,-1.976661909710277,0.3896793723106384,0.0
0 days 00:00:00.899993,-1.7640740156173706,1.2074024438858033,-0.9657089114189148,-0.19365389509634534,0.0,7.970053863525391,0.01536065898835656,-0.35716973922469397,0.0669705535877834,0.0,1.6796202421188355,-0.3560785293579101,-1.9764358347112483,0.389960532838648,0.0
0 days 00:00:00.900011,-1.764075469970703,1.2074388742446902,-0.96586674451828,-0.1936154487458142,0.0,7.970159816741943,0.01536666415631768,-0.3571038246154785,0.06750792332670898,0.0,1.6797242403030395,-0.356076431274414,-1.9762097597122192,0.3902416933666576,4.23734272771875e-05
0 days 00:00:00.900032,-1.7640769243240357,1.2074753046035769,-0.9660684838891029,-0.19357700239528305,0.0,7.9702657699584964,0.0153726693242788,-0.3570895418524742,0.06804529306563457,0.0,1.6798282384872436,-0.3560743331909179,-1.9760762155056,0.3905228538946672,8.4746854554375e-05
0 days 00:00:00.900047,-1.7640783786773682,1.2075277169545493,-0.9662702232599258,-0.19353855604475192,0.0,7.970371723175049,0.015385247766971567,-0.3570752590894699,0.06858266280456016,0.0,1.6799322366714478,-0.35610367854436237,-1.9759426712989807,0.39080401442267676,0.0001271202818315625
0 days 00:00:00.919983,-1.7641981840133667,1.2075801293055215,-0.9664719626307487,-0.19350010969422077,0.0,7.970731258392334,0.015397826209664333,-0.3570609763264656,0.06912003254348575,0.0,1.680532693862915,-0.35613302389780677,-1.9758091270923612,0.39108517495068634,0.00016949370910875
0 days 00:00:00.920027,-1.7645246982574463,1.207632541656494,-0.9666737020015717,-0.19346166334368964,0.0,7.971153736114502,0.0154104046523571,-0.3570466935634613,0.06965740228241134,0.0,1.6814919114112854,-0.3561623692512512,-1.975675582885742,0.391366335478696,0.00021186713638593748
0 days 00:00:00.960014,-1.764851212501526,1.2077681422233582,-0.9668754413723945,-0.19342321699315848,0.0,7.97157621383667,0.01551162172108885,-0.357032410800457,0.07019477202133693,0.0,1.6824511289596558,-0.3565717190504074,-1.9755420386791227,0.39164749600670556,0.000254240563663125
